ID,logFC,Pvalue,group,direction,group.direction
PACS1,-0.588748538,1.81E-05,Proteomics,down,Proteomics.down
PSAT1,-1.206819839,1.82E-05,Proteomics,down,Proteomics.down
BST2,2.130951259,1.89E-05,Proteomics,up,Proteomics.up
SUPT6H,-0.854868496,1.93E-05,Proteomics,down,Proteomics.down
MRPL43,-0.989600442,1.99E-05,Proteomics,down,Proteomics.down
DHX30,-1.89932954,2.03E-05,Proteomics,down,Proteomics.down
CDK2,-1.330318695,2.37E-05,Proteomics,down,Proteomics.down
NEXN,-1.08378331,2.43E-05,Proteomics,down,Proteomics.down
BICD2,-0.80240954,2.44E-05,Proteomics,down,Proteomics.down
HSPA1B,0.62534271,2.47E-05,Proteomics,up,Proteomics.up
HSPA1A,0.62534271,2.47E-05,Proteomics,up,Proteomics.up
FAM65A,-0.738922566,2.57E-05,Proteomics,down,Proteomics.down
BCAR3,0.992769697,2.57E-05,Proteomics,up,Proteomics.up
EEF2,0.799762352,2.77E-05,Proteomics,up,Proteomics.up
NCL,-1.193343145,2.79E-05,Proteomics,down,Proteomics.down
IFI35,2.594343654,2.86E-05,Proteomics,up,Proteomics.up
LDLR,2.061751254,3.27E-05,Proteomics,up,Proteomics.up
MYOF,1.388776271,3.31E-05,Proteomics,up,Proteomics.up
IFITM3,1.441137694,3.38E-05,Proteomics,up,Proteomics.up
HLA-DPB1,3.180552439,3.52E-05,Proteomics,up,Proteomics.up
PSMC6,-1.192575488,3.55E-05,Proteomics,down,Proteomics.down
LMO7,1.753180869,3.59E-05,Proteomics,up,Proteomics.up
TOP2A,1.164906887,3.68E-05,Proteomics,up,Proteomics.up
STAT3,1.470289074,4.03E-05,Proteomics,up,Proteomics.up
APRT,-1.375011413,4.16E-05,Proteomics,down,Proteomics.down
TMPO,-1.07682362,4.38E-05,Proteomics,down,Proteomics.down
PPP2R5D,0.989416862,4.71E-05,Proteomics,up,Proteomics.up
ACO1,1.123899501,4.88E-05,Proteomics,up,Proteomics.up
IFIT2,1.408401584,5.46E-05,Proteomics,up,Proteomics.up
EPS15L1,0.817477921,5.46E-05,Proteomics,up,Proteomics.up
DDX5,-0.608353118,5.80E-05,Proteomics,down,Proteomics.down
EEF1A1,0.729848897,6.30E-05,Proteomics,up,Proteomics.up
RAB3GAP2,-0.667172678,6.41E-05,Proteomics,down,Proteomics.down
RANGAP1,1.084896764,6.82E-05,Proteomics,up,Proteomics.up
IDH3A,-0.782384361,7.18E-05,Proteomics,down,Proteomics.down
DDX60L,0.888224908,7.26E-05,Proteomics,up,Proteomics.up
CMPK1,-0.682024212,7.35E-05,Proteomics,down,Proteomics.down
BAG2,-0.869713075,7.43E-05,Proteomics,down,Proteomics.down
LMNB2,0.70679366,8.02E-05,Proteomics,up,Proteomics.up
VCL,0.675744496,8.09E-05,Proteomics,up,Proteomics.up
ARHGEF18,-1.410431593,8.09E-05,Proteomics,down,Proteomics.down
SCRN1,-0.908485103,8.32E-05,Proteomics,down,Proteomics.down
AASDHPPT,-0.687086919,9.01E-05,Proteomics,down,Proteomics.down
UTRN,-0.593589763,9.26E-05,Proteomics,down,Proteomics.down
NDRG1,1.830918057,9.72E-05,Proteomics,up,Proteomics.up
PARP10,1.077828378,9.73E-05,Proteomics,up,Proteomics.up
ARHGEF7,-0.847892817,9.93E-05,Proteomics,down,Proteomics.down
CCT8,0.91216639,9.96E-05,Proteomics,up,Proteomics.up
SCRIB,-0.601658101,0.000102924,Proteomics,down,Proteomics.down
CD82,0.748861688,0.000116127,Proteomics,up,Proteomics.up
SCRN2,-0.848816058,0.000120141,Proteomics,down,Proteomics.down
RAB21,-0.738560297,0.000121193,Proteomics,down,Proteomics.down
MTMR6,-0.596810388,0.000126237,Proteomics,down,Proteomics.down
KIAA1524,0.632602644,0.000126475,Proteomics,up,Proteomics.up
PSMD2,1.136573979,0.000127698,Proteomics,up,Proteomics.up
ACP2,-0.594801038,0.000127971,Proteomics,down,Proteomics.down
WDR3,-0.827976997,0.000131895,Proteomics,down,Proteomics.down
MGEA5,0.772203714,0.000132001,Proteomics,up,Proteomics.up
RP5-1180C10.2,-0.764281168,0.000135894,Proteomics,down,Proteomics.down
HARS,-0.648616349,0.000137944,Proteomics,down,Proteomics.down
ENO1,0.941189552,0.000137958,Proteomics,up,Proteomics.up
GSTM3,-0.608819672,0.000143707,Proteomics,down,Proteomics.down
CDC5L,-1.569823318,0.000148304,Proteomics,down,Proteomics.down
PUM2,-1.103642204,0.000150504,Proteomics,down,Proteomics.down
NCAPH,0.718341809,0.000151017,Proteomics,up,Proteomics.up
ITGB4,2.729180914,0.000151485,Proteomics,up,Proteomics.up
WDR26,-0.777901336,0.00015405,Proteomics,down,Proteomics.down
CHML,-0.916886239,0.000157463,Proteomics,down,Proteomics.down
COL8A1,-0.898056039,0.000159663,Proteomics,down,Proteomics.down
CYR61,-0.977035563,0.000160827,Proteomics,down,Proteomics.down
TNFRSF10A,-0.835707274,0.000164302,Proteomics,down,Proteomics.down
FOSL1,-0.837579242,0.000165618,Proteomics,down,Proteomics.down
NCBP2,-1.239463402,0.000168565,Proteomics,down,Proteomics.down
AKT3,-1.465554232,0.000177843,Proteomics,down,Proteomics.down
YTHDC2,-1.744004628,0.000184175,Proteomics,down,Proteomics.down
CTH,-0.933978464,0.000187676,Proteomics,down,Proteomics.down
HNRNPR,1.864142898,0.00019366,Proteomics,up,Proteomics.up
ELP2,-0.639264729,0.000196908,Proteomics,down,Proteomics.down
COPS8,-0.754031759,0.0002226,Proteomics,down,Proteomics.down
PNP,-0.632299709,0.000222897,Proteomics,down,Proteomics.down
HIST1H2AG,-1.690202501,0.000226305,Proteomics,down,Proteomics.down
H2AFJ,-1.690202501,0.000226305,Proteomics,down,Proteomics.down
TNC,1.103478029,0.000228794,Proteomics,up,Proteomics.up
RAPH1,-1.214413681,0.000231624,Proteomics,down,Proteomics.down
C11orf73,-1.657397516,0.000245725,Proteomics,down,Proteomics.down
TNPO1,2.187973454,0.000279916,Proteomics,up,Proteomics.up
TRMT1,-0.902608786,0.0003047,Proteomics,down,Proteomics.down
DDX46,-0.658134024,0.000306133,Proteomics,down,Proteomics.down
API5,-1.333040611,0.00030817,Proteomics,down,Proteomics.down
GMPS,1.316859595,0.000308533,Proteomics,up,Proteomics.up
GANAB,2.201609008,0.000315475,Proteomics,up,Proteomics.up
CNN2,0.637248014,0.000318006,Proteomics,up,Proteomics.up
ARHGDIB,-0.602160661,0.000318043,Proteomics,down,Proteomics.down
AGO2,-0.857303458,0.000318878,Proteomics,down,Proteomics.down
PGM2L1,-0.686861797,0.000326328,Proteomics,down,Proteomics.down
IGFBP4,0.714603807,0.000327663,Proteomics,up,Proteomics.up
ARHGEF17,-0.79268315,0.00033225,Proteomics,down,Proteomics.down
CHCHD3,0.766923437,0.000350332,Proteomics,up,Proteomics.up
BROX,-0.667529844,0.00035346,Proteomics,down,Proteomics.down
PIP5K1A,-0.970646829,0.000353847,Proteomics,down,Proteomics.down
MGLL,-0.692556919,0.000364552,Proteomics,down,Proteomics.down
XRCC5,0.685210921,0.000364757,Proteomics,up,Proteomics.up
OAS2,1.473149647,0.000385838,Proteomics,up,Proteomics.up
INPP4B,-0.650923505,0.000388723,Proteomics,down,Proteomics.down
MRPL48,-1.635210173,0.000398807,Proteomics,down,Proteomics.down
AHCTF1,-0.756771679,0.000423009,Proteomics,down,Proteomics.down
LONP1,0.867584768,0.000424408,Proteomics,up,Proteomics.up
ANXA5,0.795068934,0.000428961,Proteomics,up,Proteomics.up
TEX10,-0.815617165,0.000437253,Proteomics,down,Proteomics.down
PPIA,-0.836151249,0.000439383,Proteomics,down,Proteomics.down
IPO7,-0.982922665,0.000440313,Proteomics,down,Proteomics.down
PDE12,0.695407814,0.000477391,Proteomics,up,Proteomics.up
ADAM8,1.431830749,0.000480263,Proteomics,up,Proteomics.up
CKS2,-0.932256249,0.000482918,Proteomics,down,Proteomics.down
SNX3,-1.503379479,0.00048397,Proteomics,down,Proteomics.down
UFC1,-0.696456539,0.000486384,Proteomics,down,Proteomics.down
MAP1B,0.735863746,0.000492781,Proteomics,up,Proteomics.up
ACO2,-0.614049974,0.000507148,Proteomics,down,Proteomics.down
DDX51,-1.563149998,0.000532766,Proteomics,down,Proteomics.down
EHD2,-0.805486922,0.000547681,Proteomics,down,Proteomics.down
DDB1,0.674475929,0.00054839,Proteomics,up,Proteomics.up
TRIM5,-0.837657375,0.000555949,Proteomics,down,Proteomics.down
VPS4A,-0.58994118,0.000561408,Proteomics,down,Proteomics.down
SOD1,-1.058769127,0.000564244,Proteomics,down,Proteomics.down
GRSF1,0.789871564,0.000575728,Proteomics,up,Proteomics.up
AP3M1,-1.076748633,0.000578992,Proteomics,down,Proteomics.down
UIMC1,-0.610875309,0.000581408,Proteomics,down,Proteomics.down
SHCBP1,-0.608910246,0.00058465,Proteomics,down,Proteomics.down
SYF2,-0.750050987,0.00059314,Proteomics,down,Proteomics.down
PABPC1,-0.929294037,0.000601584,Proteomics,down,Proteomics.down
MCM7,-0.88172819,0.000603636,Proteomics,down,Proteomics.down
HSPD1,0.584308675,0.000613533,Proteomics,up,Proteomics.up
PYGL,0.703959088,0.00062756,Proteomics,up,Proteomics.up
UBQLN4,-0.664815892,0.000635749,Proteomics,down,Proteomics.down
PMVK,-0.704219868,0.000637328,Proteomics,down,Proteomics.down
FRA10AC1,-1.341013828,0.000638238,Proteomics,down,Proteomics.down
MRPL37,-1.272108228,0.000684154,Proteomics,down,Proteomics.down
SERPINB8,-0.996082254,0.000711021,Proteomics,down,Proteomics.down
ATIC,0.698934472,0.000727202,Proteomics,up,Proteomics.up
GNB2L1,-0.592416952,0.000767783,Proteomics,down,Proteomics.down
CLUH,-1.466349726,0.000775339,Proteomics,down,Proteomics.down
RABGAP1,-0.599707348,0.000776298,Proteomics,down,Proteomics.down
ATP1B1,1.656505617,0.000784176,Proteomics,up,Proteomics.up
IRF9,1.2643411,0.000804893,Proteomics,up,Proteomics.up
FDPS,-1.027840705,0.000809358,Proteomics,down,Proteomics.down
TTC27,-1.055803189,0.000835475,Proteomics,down,Proteomics.down
NUP160,-0.775679406,0.000846196,Proteomics,down,Proteomics.down
SPTAN1,1.246701047,0.000846222,Proteomics,up,Proteomics.up
ANXA1,1.503169528,0.000862306,Proteomics,up,Proteomics.up
SERPINB9,-0.955697511,0.00089747,Proteomics,down,Proteomics.down
TRIM24,-0.681344338,0.000897944,Proteomics,down,Proteomics.down
ASCC3,-0.646199817,0.000899487,Proteomics,down,Proteomics.down
C9orf89,-0.62678938,0.000907833,Proteomics,down,Proteomics.down
SLC25A35,-1.559612886,0.000917357,Proteomics,down,Proteomics.down
PLEKHA5,-0.580441231,0.000927804,Proteomics,down,Proteomics.down
DHX36,-0.651848958,0.000928045,Proteomics,down,Proteomics.down
URB1,-2.044382789,0.000929279,Proteomics,down,Proteomics.down
BUD31,-0.753442507,0.000934232,Proteomics,down,Proteomics.down
UBA7,1.451222554,0.000945517,Proteomics,up,Proteomics.up
RAN,1.394816673,0.000954585,Proteomics,up,Proteomics.up
ASB1,-1.139412239,0.001011597,Proteomics,down,Proteomics.down
SPRY4,1.041499216,0.001014945,Proteomics,up,Proteomics.up
PLAT,1.215372768,0.001049882,Proteomics,up,Proteomics.up
PKM,0.857208499,0.00106499,Proteomics,up,Proteomics.up
NT5DC2,-1.178687536,0.001083307,Proteomics,down,Proteomics.down
PARN,-0.828365453,0.001092484,Proteomics,down,Proteomics.down
VIM,1.269730746,0.001095584,Proteomics,up,Proteomics.up
RRP15,-1.067821666,0.001123465,Proteomics,down,Proteomics.down
HMGB2,1.16470169,0.001149437,Proteomics,up,Proteomics.up
NUCB1,0.85152367,0.001161643,Proteomics,up,Proteomics.up
OGFR,1.349358386,0.001169019,Proteomics,up,Proteomics.up
TBCEL,-0.619502982,0.001217255,Proteomics,down,Proteomics.down
PSME1,0.697930149,0.00126653,Proteomics,up,Proteomics.up
HLA-DPA1,2.043106567,0.001303561,Proteomics,up,Proteomics.up
GALE,-0.580144613,0.001324413,Proteomics,down,Proteomics.down
PARP9,2.608342628,0.001325482,Proteomics,up,Proteomics.up
ANP32E,-0.82151064,0.001335383,Proteomics,down,Proteomics.down
CA2,-0.655533742,0.00134726,Proteomics,down,Proteomics.down
ALKBH3,-1.186557786,0.001390553,Proteomics,down,Proteomics.down
HNRNPU,1.159608881,0.001391424,Proteomics,up,Proteomics.up
SCAMP1,0.79071169,0.001420777,Proteomics,up,Proteomics.up
DCTN1,-0.622178753,0.00144955,Proteomics,down,Proteomics.down
PTPRK,0.772523328,0.001515387,Proteomics,up,Proteomics.up
PUS1,-1.217554462,0.001516268,Proteomics,down,Proteomics.down
BCKDK,-0.857784702,0.001519489,Proteomics,down,Proteomics.down
TARS,0.736499882,0.001537127,Proteomics,up,Proteomics.up
GOLM1,1.040748872,0.001554026,Proteomics,up,Proteomics.up
DDAH2,-0.64373105,0.001603227,Proteomics,down,Proteomics.down
SPAG9,-1.362914741,0.001663696,Proteomics,down,Proteomics.down
MICB,-1.112373373,0.001699238,Proteomics,down,Proteomics.down
SGOL1,-0.793884544,0.001708535,Proteomics,down,Proteomics.down
USP40,-0.952762213,0.001719576,Proteomics,down,Proteomics.down
WDR36,0.656843351,0.001730439,Proteomics,up,Proteomics.up
MRPS22,-0.594736505,0.001744467,Proteomics,down,Proteomics.down
RPL15,0.873278241,0.001748019,Proteomics,up,Proteomics.up
VARS,0.920944385,0.001766624,Proteomics,up,Proteomics.up
DIS3,0.837848542,0.001767139,Proteomics,up,Proteomics.up
GRB2,-1.788440487,0.001786811,Proteomics,down,Proteomics.down
CDK1,0.872486782,0.001829965,Proteomics,up,Proteomics.up
BABAM1,-0.805259479,0.001834029,Proteomics,down,Proteomics.down
PATL1,-1.229231229,0.001857523,Proteomics,down,Proteomics.down
SERPINE1,-1.770163524,0.001866302,Proteomics,down,Proteomics.down
PTPN14,-0.916550717,0.00191661,Proteomics,down,Proteomics.down
ARID2,-0.723816275,0.001957475,Proteomics,down,Proteomics.down
SURF6,-1.395335094,0.001981819,Proteomics,down,Proteomics.down
SH2D4A,-1.217178806,0.001986092,Proteomics,down,Proteomics.down
PTPRS,0.605196372,0.001986568,Proteomics,up,Proteomics.up
ATAD3B,-0.589244824,0.001992065,Proteomics,down,Proteomics.down
THOC1,-1.014207228,0.002046617,Proteomics,down,Proteomics.down
NHP2L1,1.587439393,0.002047373,Proteomics,up,Proteomics.up
LRCH3,-0.948956981,0.002081797,Proteomics,down,Proteomics.down
ADSS,-0.627264004,0.002134784,Proteomics,down,Proteomics.down
NUP37,-0.628687888,0.002146885,Proteomics,down,Proteomics.down
MEMO1,-0.742886535,0.002170454,Proteomics,down,Proteomics.down
DYNC1LI1,0.639102202,0.002180679,Proteomics,up,Proteomics.up
IFRD2,-0.599968091,0.002184451,Proteomics,down,Proteomics.down
HMGB1,0.962485778,0.002220807,Proteomics,up,Proteomics.up
HNRNPK,1.228642352,0.002248999,Proteomics,up,Proteomics.up
GTF2F1,0.749414607,0.0022509,Proteomics,up,Proteomics.up
NT5C2,-1.049573104,0.002342778,Proteomics,down,Proteomics.down
NXN,-0.951142372,0.00235912,Proteomics,down,Proteomics.down
ZNF143,-1.229516347,0.002388778,Proteomics,down,Proteomics.down
STXBP2,1.359624774,0.002420644,Proteomics,up,Proteomics.up
CDKN2D,-0.797874472,0.002433652,Proteomics,down,Proteomics.down
LYRM7,1.302143388,0.002447373,Proteomics,up,Proteomics.up
ACSL3,-0.584682559,0.002520527,Proteomics,down,Proteomics.down
PM20D2,-0.73293856,0.002634778,Proteomics,down,Proteomics.down
RPL34,-1.669103942,0.002638033,Proteomics,down,Proteomics.down
ABCB10,-0.687031477,0.002662006,Proteomics,down,Proteomics.down
MLKL,1.118559557,0.002693175,Proteomics,up,Proteomics.up
DNPH1,-1.257357835,0.002703681,Proteomics,down,Proteomics.down
MYH9,0.789496533,0.002719274,Proteomics,up,Proteomics.up
GOT2,0.583465526,0.002756466,Proteomics,up,Proteomics.up
IMPDH2,1.426366039,0.002762003,Proteomics,up,Proteomics.up
KLC1,0.93460623,0.002794795,Proteomics,up,Proteomics.up
PSMB7,1.655585206,0.00282868,Proteomics,up,Proteomics.up
ADRBK1,-1.241313377,0.002832459,Proteomics,down,Proteomics.down
DNM1,-0.703236671,0.002877706,Proteomics,down,Proteomics.down
COTL1,0.835291991,0.002911618,Proteomics,up,Proteomics.up
IRGQ,-0.833105721,0.002974767,Proteomics,down,Proteomics.down
CEP170,-1.337119772,0.002997928,Proteomics,down,Proteomics.down
DDHD1,-0.928949129,0.003001565,Proteomics,down,Proteomics.down
CYB5R1,-1.585196654,0.00302897,Proteomics,down,Proteomics.down
FADS3,1.039291783,0.003077792,Proteomics,up,Proteomics.up
GAPDH,1.314224491,0.003109125,Proteomics,up,Proteomics.up
SEC31A,-1.174130525,0.003142038,Proteomics,down,Proteomics.down
LIMCH1,0.780541044,0.00319527,Proteomics,up,Proteomics.up
RAF1,-0.619392365,0.003196818,Proteomics,down,Proteomics.down
NFKBIL1,-0.779816447,0.003197703,Proteomics,down,Proteomics.down
GAN,-0.922153723,0.003244288,Proteomics,down,Proteomics.down
CENPK,-0.701301875,0.003290966,Proteomics,down,Proteomics.down
CBX8,-1.048241814,0.003332594,Proteomics,down,Proteomics.down
MRPS7,-0.649181404,0.003345136,Proteomics,down,Proteomics.down
FTL,0.835639403,0.003384393,Proteomics,up,Proteomics.up
GTF2H2C,-0.731647225,0.003412629,Proteomics,down,Proteomics.down
ZDHHC17,-0.926871616,0.003416287,Proteomics,down,Proteomics.down
KRT7,0.967990433,0.003459847,Proteomics,up,Proteomics.up
WBP11,0.789203786,0.0034785,Proteomics,up,Proteomics.up
CHD1L,-0.642348175,0.00348436,Proteomics,down,Proteomics.down
ZNF787,1.058363296,0.003518096,Proteomics,up,Proteomics.up
USP15,1.020967031,0.003545407,Proteomics,up,Proteomics.up
NUP88,0.82819976,0.003554962,Proteomics,up,Proteomics.up
GDI2,1.668661067,0.003576345,Proteomics,up,Proteomics.up
FAF1,-1.666386713,0.00358181,Proteomics,down,Proteomics.down
CPNE3,-0.659700424,0.003667957,Proteomics,down,Proteomics.down
FAT1,-1.007698569,0.003688503,Proteomics,down,Proteomics.down
COMT,-0.60932873,0.003707746,Proteomics,down,Proteomics.down
WDR7,-0.861180657,0.003714487,Proteomics,down,Proteomics.down
CASP2,-1.156536299,0.003717897,Proteomics,down,Proteomics.down
ACADVL,-2.135484695,0.003749042,Proteomics,down,Proteomics.down
MATR3,0.915505311,0.003848823,Proteomics,up,Proteomics.up
TMED4,-0.722073645,0.003882423,Proteomics,down,Proteomics.down
MRPL51,-0.741783846,0.003882896,Proteomics,down,Proteomics.down
SLC25A22,0.888075896,0.003917565,Proteomics,up,Proteomics.up
IFT46,-1.544154267,0.003961361,Proteomics,down,Proteomics.down
C17orf75,-0.758204137,0.00396521,Proteomics,down,Proteomics.down
CDC34,-1.375093538,0.004062254,Proteomics,down,Proteomics.down
SPTBN2,-0.630543286,0.004160499,Proteomics,down,Proteomics.down
CST3,1.023315562,0.00418364,Proteomics,up,Proteomics.up
THBD,0.986241005,0.004227956,Proteomics,up,Proteomics.up
RRBP1,1.988088193,0.004271525,Proteomics,up,Proteomics.up
PTTG1IP,-1.252874835,0.004326822,Proteomics,down,Proteomics.down
MRPL4,-0.91594512,0.004341613,Proteomics,down,Proteomics.down
UAP1,0.907617316,0.00434211,Proteomics,up,Proteomics.up
PPME1,-1.166355083,0.004352205,Proteomics,down,Proteomics.down
TRIM3,-1.028435801,0.004432294,Proteomics,down,Proteomics.down
XRN2,0.792183759,0.004478196,Proteomics,up,Proteomics.up
RPN1,0.785934799,0.004498694,Proteomics,up,Proteomics.up
RAB32,0.84057931,0.004508518,Proteomics,up,Proteomics.up
ACSL5,0.952666204,0.004511871,Proteomics,up,Proteomics.up
PPP2R1B,-0.61111471,0.004623077,Proteomics,down,Proteomics.down
CNOT10,-0.668092194,0.004739435,Proteomics,down,Proteomics.down
GART,0.705627848,0.004773249,Proteomics,up,Proteomics.up
POT1,-0.655181401,0.004778209,Proteomics,down,Proteomics.down
QARS,0.598802624,0.004810319,Proteomics,up,Proteomics.up
TRIM22,2.423497854,0.004892731,Proteomics,up,Proteomics.up
NEMF,-0.951739741,0.004928585,Proteomics,down,Proteomics.down
EFTUD2,0.896661421,0.004982363,Proteomics,up,Proteomics.up
NUMA1,0.580449699,0.005063461,Proteomics,up,Proteomics.up
IL18,-1.504323723,0.005102575,Proteomics,down,Proteomics.down
SRM,-1.106737564,0.005106608,Proteomics,down,Proteomics.down
BTN3A3,1.325507986,0.005106797,Proteomics,up,Proteomics.up
FHIT,-0.587969218,0.005122623,Proteomics,down,Proteomics.down
RPS13,0.867980735,0.005202747,Proteomics,up,Proteomics.up
DAGLB,-0.811596646,0.005205436,Proteomics,down,Proteomics.down
CASP9,-0.977446789,0.005245894,Proteomics,down,Proteomics.down
VMP1,-0.683195871,0.005267612,Proteomics,down,Proteomics.down
GTF3C1,-1.333571374,0.005305138,Proteomics,down,Proteomics.down
