Ensembl,Entry,UNIPROT,Chrom,Gene.Name,Biotype
ENSG00000144452,Q86UK0,ABCAC_HUMAN,2,ABCA12,protein_coding
ENSG00000179869,Q86UQ4,ABCAD_HUMAN,7,ABCA13,protein_coding
ENSG00000271725,NA,NA,15,RP11-761I4.4,3prime_overlapping_ncrna
ENSG00000107331,Q9BZC7,ABCA2_HUMAN,9,ABCA2,protein_coding
ENSG00000167972,Q99758,ABCA3_HUMAN,16,ABCA3,protein_coding
ENSG00000198691,P78363,ABCA4_HUMAN,1,ABCA4,protein_coding
ENSG00000154265,Q8WWZ7,ABCA5_HUMAN,17,ABCA5,protein_coding
ENSG00000154262,Q8N139,ABCA6_HUMAN,17,ABCA6,protein_coding
ENSG00000064687,Q8IZY2,ABCA7_HUMAN,19,ABCA7,protein_coding
ENSG00000141338,O94911,ABCA8_HUMAN,17,ABCA8,protein_coding
ENSG00000154258,Q8IUA7,ABCA9_HUMAN,17,ABCA9,protein_coding
ENSG00000240143,NA,NA,X,RP4-753P9.3,3prime_overlapping_ncrna
ENSG00000085563,P08183,MDR1_HUMAN,7,ABCB1,protein_coding
ENSG00000135776,Q9NRK6,ABCBA_HUMAN,1,ABCB10,protein_coding
ENSG00000272084,NA,NA,1,RP5-1126H10.2,3prime_overlapping_ncrna
ENSG00000273333,NA,NA,6,XXbac-BPG300A18.13,3prime_overlapping_ncrna
ENSG00000268895,NA,NA,19,A1BG-AS1,antisense
ENSG00000073734,O95342,ABCBB_HUMAN,2,ABCB11,protein_coding
ENSG00000005471,P21439,MDR3_HUMAN,7,ABCB4,protein_coding
ENSG00000004846,Q2M3G0,ABCB5_HUMAN,7,ABCB5,protein_coding
ENSG00000115657,Q9NP58,ABCB6_HUMAN,2,ABCB6,protein_coding
ENSG00000131269,O75027,ABCB7_HUMAN,X,ABCB7,protein_coding
ENSG00000197150,Q9NUT2,MITOS_HUMAN,7,ABCB8,protein_coding
ENSG00000150967,Q9NP78,ABCB9_HUMAN,12,ABCB9,protein_coding
ENSG00000103222,P33527,MRP1_HUMAN,16,ABCC1,protein_coding
ENSG00000124574,Q5T3U5,MRP7_HUMAN,6,ABCC10,protein_coding
ENSG00000121270,Q96J66,MRP8_HUMAN,16,ABCC11,protein_coding
ENSG00000140798,Q96J65,MRP9_HUMAN,16,ABCC12,protein_coding
ENSG00000245105,NA,NA,12,A2M-AS1,antisense
ENSG00000023839,Q92887,MRP2_HUMAN,10,ABCC2,protein_coding
ENSG00000108846,O15438,MRP3_HUMAN,17,ABCC3,protein_coding
ENSG00000125257,O15439,MRP4_HUMAN,13,ABCC4,protein_coding
ENSG00000114770,O15440,MRP5_HUMAN,3,ABCC5,protein_coding
ENSG00000256661,NA,NA,12,A2ML1-AS1,antisense
ENSG00000091262,O95255,MRP6_HUMAN,16,ABCC6,protein_coding
ENSG00000256904,NA,NA,12,A2ML1-AS2,antisense
ENSG00000231749,NA,NA,17,ABCA9-AS1,antisense
ENSG00000006071,Q09428,ABCC8_HUMAN,11,ABCC8,protein_coding
ENSG00000069431,O60706,ABCC9_HUMAN,12,ABCC9,protein_coding
ENSG00000101986,P33897,ABCD1_HUMAN,X,ABCD1,protein_coding
ENSG00000223882,NA,NA,3,ABCC5-AS1,antisense
ENSG00000260246,NA,NA,1,AC000032.2,antisense
ENSG00000225929,NA,NA,22,AC000036.4,antisense
ENSG00000273212,NA,NA,22,AC000068.10,antisense
ENSG00000173208,Q9UBJ2,ABCD2_HUMAN,12,ABCD2,protein_coding
ENSG00000117528,P28288,ABCD3_HUMAN,1,ABCD3,protein_coding
ENSG00000119688,O14678,ABCD4_HUMAN,14,ABCD4,protein_coding
ENSG00000164163,P61221,ABCE1_HUMAN,4,ABCE1,protein_coding
ENSG00000204574,F5GYK6,F5GYK6_HUMAN,6,ABCF1,protein_coding
ENSG00000033050,Q9UG63,ABCF2_HUMAN,7,ABCF2,protein_coding
ENSG00000185065,NA,NA,22,AC000068.5,antisense
ENSG00000273300,NA,NA,22,AC000068.9,antisense
ENSG00000161204,Q9NUQ8,ABCF3_HUMAN,3,ABCF3,protein_coding
ENSG00000160179,P45844,ABCG1_HUMAN,21,ABCG1,protein_coding
ENSG00000118777,Q9UNQ0,ABCG2_HUMAN,4,ABCG2,protein_coding
ENSG00000172350,Q9H172,ABCG4_HUMAN,11,ABCG4,protein_coding
ENSG00000138075,Q9H222,ABCG5_HUMAN,2,ABCG5,protein_coding
ENSG00000143921,Q9H221,ABCG8_HUMAN,2,ABCG8,protein_coding
ENSG00000143994,Q96SE0,ABHD1_HUMAN,2,ABHD1,protein_coding
ENSG00000144827,Q9NUJ1,ABHDA_HUMAN,3,ABHD10,protein_coding
ENSG00000106077,Q8NFV4,ABHDB_HUMAN,7,ABHD11,protein_coding
ENSG00000100997,Q8N2K0,ABD12_HUMAN,20,ABHD12,protein_coding
ENSG00000131969,Q7Z5M8,AB12B_HUMAN,14,ABHD12B,protein_coding
ENSG00000139826,Q7L211,ABHDD_HUMAN,13,ABHD13,protein_coding
ENSG00000248487,Q9BUJ0,ABHEA_HUMAN,3,ABHD14A,protein_coding
ENSG00000114786,A0A1B0GU64,A0A1B0GU64_HUMAN,3,ABHD14A-ACY1,protein_coding
ENSG00000114779,Q96IU4,ABHEB_HUMAN,3,ABHD14B,protein_coding
ENSG00000168792,Q6UXT9,ABH15_HUMAN,17,ABHD15,protein_coding
ENSG00000204427,F2Z3G6,F2Z3G6_HUMAN,6,ABHD16A,protein_coding
ENSG00000183260,Q9H3Z7,ABHGB_HUMAN,20,ABHD16B,protein_coding
ENSG00000129968,Q96GS6,AB17A_HUMAN,19,ABHD17A,protein_coding
ENSG00000236340,NA,NA,7,AC000099.1,antisense
ENSG00000232661,NA,NA,7,AC000111.3,antisense
ENSG00000083622,NA,NA,7,AC000111.6,antisense
ENSG00000224138,NA,NA,7,AC000123.4,antisense
ENSG00000241921,NA,NA,7,AC000370.2,antisense
ENSG00000254499,NA,NA,22,AC002056.5,antisense
ENSG00000107362,Q5VST6,AB17B_HUMAN,9,ABHD17B,protein_coding
ENSG00000136379,Q6PCB6,AB17C_HUMAN,15,ABHD17C,protein_coding
ENSG00000140526,P08910,ABHD2_HUMAN,15,ABHD2,protein_coding
ENSG00000158201,Q8WU67,ABHD3_HUMAN,18,ABHD3,protein_coding
ENSG00000100439,Q8TB40,ABHD4_HUMAN,14,ABHD4,protein_coding
ENSG00000011198,Q8WTS1,ABHD5_HUMAN,3,ABHD5,protein_coding
ENSG00000163686,Q9BV23,ABHD6_HUMAN,3,ABHD6,protein_coding
ENSG00000127220,Q96I13,ABHD8_HUMAN,19,ABHD8,protein_coding
ENSG00000136754,Q8IZP0,ABI1_HUMAN,10,ABI1,protein_coding
ENSG00000138443,Q9NYB9,ABI2_HUMAN,2,ABI2,protein_coding
ENSG00000108798,Q9P2A4,ABI3_HUMAN,17,ABI3,protein_coding
ENSG00000154175,Q7Z7G0,TARSH_HUMAN,3,ABI3BP,protein_coding
ENSG00000097007,P00519,ABL1_HUMAN,9,ABL1,protein_coding
ENSG00000143322,P42684,ABL2_HUMAN,1,ABL2,protein_coding
ENSG00000099204,O14639,ABLM1_HUMAN,10,ABLIM1,protein_coding
ENSG00000163995,Q6H8Q1,ABLM2_HUMAN,4,ABLIM2,protein_coding
ENSG00000173210,O94929,ABLM3_HUMAN,5,ABLIM3,protein_coding
ENSG00000175164,A0A087X009,A0A087X009_HUMAN,9,ABO,processed_transcript
ENSG00000159842,Q12979,ABR_HUMAN,17,ABR,protein_coding
ENSG00000174429,Q8N0Z2,ABRA_HUMAN,8,ABRA,protein_coding
ENSG00000146386,Q9P1F3,ABRAL_HUMAN,6,ABRACL,protein_coding
ENSG00000146109,Q9ULW3,ABT1_HUMAN,6,ABT1,protein_coding
ENSG00000234459,NA,NA,7,AC002064.4,antisense
ENSG00000114626,Q969K4,ABTB1_HUMAN,3,ABTB1,protein_coding
ENSG00000166016,Q8N961,ABTB2_HUMAN,11,ABTB2,protein_coding
ENSG00000237813,NA,NA,7,AC002066.1,antisense
ENSG00000234695,NA,NA,7,AC002076.10,antisense
ENSG00000267698,NA,NA,19,AC002116.7,antisense
ENSG00000224505,NA,NA,17,AC002117.1,antisense
ENSG00000271366,NA,NA,19,AC002128.5,antisense
ENSG00000259242,NA,NA,19,AC002306.1,antisense
ENSG00000235560,NA,NA,16,AC002310.12,antisense
ENSG00000239791,NA,NA,16,AC002310.7,antisense
ENSG00000237741,NA,NA,X,AC002368.4,antisense
ENSG00000267439,NA,NA,19,AC002398.11,antisense
ENSG00000267328,NA,NA,19,AC002398.12,antisense
ENSG00000267049,NA,NA,19,AC002398.13,antisense
ENSG00000236472,NA,NA,17,AC002401.1,antisense
ENSG00000236197,NA,NA,7,AC002429.5,antisense
ENSG00000231170,NA,NA,7,AC002451.3,antisense
ENSG00000237819,NA,NA,7,AC002454.1,antisense
ENSG00000223969,NA,NA,7,AC002456.2,antisense
ENSG00000238202,NA,NA,7,AC002465.2,antisense
ENSG00000241764,NA,NA,7,AC002467.7,antisense
ENSG00000226872,NA,NA,22,AC002472.11,antisense
ENSG00000232759,NA,NA,7,AC002480.3,antisense
ENSG00000232949,NA,NA,7,AC002480.4,antisense
ENSG00000230258,NA,NA,17,AC002539.1,antisense
ENSG00000261312,NA,NA,16,AC002550.5,antisense
ENSG00000262011,NA,NA,16,AC003009.1,antisense
ENSG00000237773,NA,NA,7,AC003075.4,antisense
ENSG00000267750,NA,NA,17,AC003102.3,antisense
ENSG00000234494,NA,NA,17,AC003665.1,antisense
ENSG00000268564,NA,NA,19,AC003956.1,antisense
ENSG00000234859,NA,NA,17,AC003958.2,antisense
ENSG00000229533,NA,NA,7,AC003986.5,antisense
ENSG00000232821,NA,NA,7,AC003986.6,antisense
ENSG00000236536,NA,NA,7,AC003986.7,antisense
ENSG00000228113,NA,NA,7,AC003991.3,antisense
ENSG00000236754,NA,NA,22,AC004019.13,antisense
ENSG00000223442,NA,NA,5,AC004041.2,antisense
ENSG00000245384,NA,NA,4,AC004053.1,antisense
ENSG00000248984,NA,NA,4,AC004054.1,antisense
ENSG00000250522,NA,NA,4,AC004066.3,antisense
ENSG00000273447,NA,NA,4,AC004067.5,antisense
ENSG00000226851,NA,NA,7,AC004112.4,antisense
ENSG00000230435,NA,NA,7,AC004160.4,antisense
ENSG00000234477,NA,NA,17,AC004231.2,antisense
ENSG00000230612,NA,NA,5,AC004237.1,antisense
ENSG00000260510,NA,NA,16,AC004381.7,antisense
ENSG00000269131,NA,NA,19,AC004447.2,antisense
ENSG00000260924,NA,NA,22,AC004463.6,antisense
ENSG00000223461,NA,NA,22,AC004471.9,antisense
ENSG00000228944,NA,NA,7,AC004485.3,antisense
ENSG00000267122,NA,NA,19,AC004490.1,antisense
ENSG00000266990,NA,NA,19,AC004528.4,antisense
ENSG00000225792,NA,NA,7,AC004540.4,antisense
ENSG00000229893,NA,NA,7,AC004549.6,antisense
ENSG00000235669,NA,NA,7,AC004593.3,antisense
ENSG00000267755,NA,NA,19,AC004623.2,antisense
ENSG00000267304,NA,NA,19,AC004637.1,antisense
ENSG00000229263,NA,NA,7,AC004691.5,antisense
ENSG00000228680,NA,NA,7,AC004692.4,antisense
ENSG00000226522,NA,NA,7,AC004744.3,antisense
ENSG00000234469,H7C241,CLD34_HUMAN,X,AC002365.1,protein_coding
ENSG00000231951,NA,NA,7,AC004837.4,antisense
ENSG00000228554,NA,NA,7,AC004837.5,antisense
ENSG00000234183,NA,NA,7,AC004854.4,antisense
ENSG00000232667,NA,NA,7,AC004862.6,antisense
ENSG00000224804,NA,NA,7,AC004878.2,antisense
ENSG00000254977,NA,NA,7,AC004878.8,antisense
ENSG00000242687,NA,NA,7,AC004893.11,antisense
ENSG00000237286,NA,NA,7,AC004906.3,antisense
ENSG00000228151,NA,NA,7,AC004941.3,antisense
ENSG00000188223,K7ERS5,K7ERS5_HUMAN,19,AC002398.9,protein_coding
ENSG00000203446,NA,NA,7,AC004988.1,antisense
ENSG00000231255,NA,NA,7,AC005009.1,antisense
ENSG00000233073,NA,NA,7,AC005009.2,antisense
ENSG00000183308,NA,NA,2,AC005037.3,antisense
ENSG00000258821,NA,NA,2,AC005041.17,antisense
ENSG00000204380,NA,NA,2,AC005042.4,antisense
ENSG00000224046,NA,NA,7,AC005076.5,antisense
ENSG00000223374,NA,NA,2,AC005104.3,antisense
ENSG00000229452,NA,NA,7,AC005162.4,antisense
ENSG00000233517,NA,NA,7,AC005162.5,antisense
ENSG00000269694,NA,NA,19,AC005197.2,antisense
ENSG00000236352,NA,NA,20,AC005220.3,antisense
ENSG00000231595,NA,NA,17,AC005224.2,antisense
ENSG00000187905,Q6ZQY2,LR74B_HUMAN,22,AC002472.13,protein_coding
ENSG00000225521,NA,NA,2,AC005237.4,antisense
ENSG00000268030,NA,NA,19,AC005253.2,antisense
ENSG00000268983,NA,NA,19,AC005253.4,antisense
ENSG00000267688,NA,NA,19,AC005262.2,antisense
ENSG00000267139,NA,NA,19,AC005262.3,antisense
ENSG00000267551,NA,NA,19,AC005264.2,antisense
ENSG00000225606,NA,NA,7,AC005281.2,antisense
ENSG00000267283,NA,NA,19,AC005306.3,antisense
ENSG00000233002,NA,NA,17,AC005324.6,antisense
ENSG00000248015,NA,NA,19,AC005329.7,antisense
ENSG00000268565,NA,NA,19,AC005339.2,antisense
ENSG00000227274,NA,NA,17,AC005358.3,antisense
ENSG00000269191,NA,NA,19,AC005387.2,antisense
ENSG00000268938,NA,NA,19,AC005387.3,antisense
ENSG00000267159,NA,NA,19,AC005391.2,antisense
ENSG00000269604,NA,NA,19,AC005523.2,antisense
ENSG00000224903,NA,NA,7,AC005534.8,antisense
ENSG00000237581,NA,NA,2,AC005538.5,antisense
ENSG00000235852,NA,NA,2,AC005540.3,antisense
ENSG00000237070,NA,NA,7,AC005550.3,antisense
ENSG00000266939,NA,NA,19,AC005559.2,antisense
ENSG00000231185,NA,NA,5,AC005592.2,antisense
ENSG00000205790,NA,NA,19,AC005594.3,antisense
ENSG00000267223,NA,NA,19,AC005597.1,antisense
ENSG00000269296,NA,NA,19,AC005614.3,antisense
ENSG00000266963,NA,NA,19,AC005625.1,antisense
ENSG00000254099,NA,NA,5,AC005740.5,antisense
ENSG00000268193,M0R1B8,M0R1B8_HUMAN,19,AC002985.3,protein_coding
ENSG00000271871,NA,NA,5,AC005740.6,antisense
ENSG00000272154,NA,NA,5,AC005754.7,antisense
ENSG00000267044,NA,NA,19,AC005757.6,antisense
ENSG00000268133,M0R2Z0,M0R2Z0_HUMAN,19,AC003002.4,protein_coding
ENSG00000269533,M0R1H3,M0R1H3_HUMAN,19,AC003002.6,protein_coding
ENSG00000266933,NA,NA,19,AC005775.2,antisense
ENSG00000267436,NA,NA,19,AC005786.7,antisense
ENSG00000268107,M0R143,M0R143_HUMAN,19,AC003005.4,protein_coding
ENSG00000267090,NA,NA,19,AC005789.9,antisense
ENSG00000269026,M0R1X1,M0R1X1_HUMAN,19,AC003006.7,protein_coding
ENSG00000269019,NA,NA,19,AC005932.1,antisense
ENSG00000267469,NA,NA,19,AC005944.2,antisense
ENSG00000267205,NA,NA,19,AC005954.4,antisense
ENSG00000236795,NA,NA,7,AC006004.1,antisense
ENSG00000203335,NA,NA,7,AC006019.3,antisense
ENSG00000233363,NA,NA,7,AC006019.4,antisense
ENSG00000234286,NA,NA,7,AC006026.13,antisense
ENSG00000227719,NA,NA,7,AC006042.6,antisense
ENSG00000233108,NA,NA,7,AC006042.7,antisense
ENSG00000269793,NA,NA,19,AC006115.3,antisense
ENSG00000267192,NA,NA,19,AC006116.12,antisense
ENSG00000267549,NA,NA,19,AC006116.17,antisense
ENSG00000267063,NA,NA,19,AC006130.3,antisense
ENSG00000226323,NA,NA,7,AC006150.1,antisense
ENSG00000243220,NA,NA,7,AC006159.4,antisense
ENSG00000235427,NA,NA,7,AC006159.5,antisense
ENSG00000249502,NA,NA,4,AC006160.5,antisense
ENSG00000269745,NA,NA,19,AC006262.10,antisense
ENSG00000253392,NA,NA,19,AC006277.2,antisense
ENSG00000236213,NA,NA,2,AC006369.2,antisense
ENSG00000233191,NA,NA,7,AC006372.6,antisense
ENSG00000236861,NA,NA,7,AC006378.2,antisense
ENSG00000228509,NA,NA,2,AC006460.2,antisense
ENSG00000236540,NA,NA,22,AC006547.13,antisense
ENSG00000268292,NA,NA,22,AC006547.15,antisense
ENSG00000243762,NA,NA,22,AC006547.8,antisense
ENSG00000269194,NA,NA,19,AC006942.4,antisense
ENSG00000237400,NA,NA,7,AC006960.7,antisense
ENSG00000231294,NA,NA,2,AC006994.2,antisense
ENSG00000244239,NA,NA,7,AC007009.1,antisense
ENSG00000229127,NA,NA,2,AC007038.7,antisense
ENSG00000228384,NA,NA,2,AC007040.6,antisense
ENSG00000239322,NA,NA,2,AC007040.7,antisense
ENSG00000236469,NA,NA,2,AC007040.8,antisense
ENSG00000236003,NA,NA,22,AC007050.17,antisense
ENSG00000250614,NA,NA,7,AC007078.4,antisense
ENSG00000226605,NA,NA,2,AC007098.1,antisense
ENSG00000231172,NA,NA,2,AC007099.1,antisense
ENSG00000237293,NA,NA,2,AC007099.2,antisense
ENSG00000229970,NA,NA,7,AC007128.1,antisense
ENSG00000230408,NA,NA,2,AC007163.6,antisense
ENSG00000224721,NA,NA,14,AC007182.6,antisense
ENSG00000269145,NA,NA,19,AC007192.6,antisense
ENSG00000269124,NA,NA,19,AC007193.10,antisense
ENSG00000269151,NA,NA,19,AC007193.8,antisense
ENSG00000268810,NA,NA,19,AC007193.9,antisense
ENSG00000269696,NA,NA,19,AC007228.11,antisense
ENSG00000231312,NA,NA,2,AC007246.3,antisense
ENSG00000223813,NA,NA,7,AC007255.8,antisense
ENSG00000226925,NA,NA,2,AC007271.3,antisense
ENSG00000213981,NA,NA,2,AC007277.3,antisense
ENSG00000227014,NA,NA,7,AC007285.6,antisense
ENSG00000231519,NA,NA,7,AC007285.7,antisense
ENSG00000269318,NA,NA,19,AC007292.3,antisense
ENSG00000269807,NA,NA,19,AC007292.4,antisense
ENSG00000267980,NA,NA,19,AC007292.6,antisense
ENSG00000269425,NA,NA,19,AC007292.7,antisense
ENSG00000234252,NA,NA,22,AC007308.6,antisense
ENSG00000272600,NA,NA,22,AC007308.7,antisense
ENSG00000224063,NA,NA,2,AC007319.1,antisense
ENSG00000229679,NA,NA,7,AC007327.5,antisense
ENSG00000230831,NA,NA,7,AC007349.7,antisense
ENSG00000225216,NA,NA,2,AC007362.3,antisense
ENSG00000231955,NA,NA,2,AC007383.4,antisense
ENSG00000232613,NA,NA,2,AC007386.4,antisense
ENSG00000235035,NA,NA,2,AC007395.3,antisense
ENSG00000235934,NA,NA,2,AC007405.8,antisense
ENSG00000235321,NA,NA,2,AC007556.3,antisense
ENSG00000237479,NA,NA,2,AC007557.2,antisense
ENSG00000231597,NA,NA,2,AC007557.4,antisense
ENSG00000236295,NA,NA,2,AC007563.1,antisense
ENSG00000236886,NA,NA,2,AC007563.5,antisense
ENSG00000244055,NA,NA,7,AC007566.10,antisense
ENSG00000242539,NA,NA,3,AC007620.3,antisense
ENSG00000268533,M0R1W7,M0R1W7_HUMAN,19,AC004076.7,protein_coding
ENSG00000268163,M0R036,M0R036_HUMAN,19,AC004076.9,protein_coding
ENSG00000225610,NA,NA,2,AC007679.3,antisense
ENSG00000237750,NA,NA,2,AC007740.1,antisense
ENSG00000233251,NA,NA,2,AC007743.1,antisense
ENSG00000236841,NA,NA,2,AC007750.5,antisense
ENSG00000267213,NA,NA,19,AC007773.2,antisense
ENSG00000267610,NA,NA,19,AC007787.2,antisense
ENSG00000267662,NA,NA,19,AC007796.1,antisense
ENSG00000223725,NA,NA,2,AC007879.5,antisense
ENSG00000226747,NA,NA,2,AC007966.1,antisense
ENSG00000234281,NA,NA,2,AC007970.1,antisense
ENSG00000227365,NA,NA,7,AC008060.5,antisense
ENSG00000230918,NA,NA,2,AC008063.2,antisense
ENSG00000237031,NA,NA,2,AC008067.2,antisense
ENSG00000232642,NA,NA,2,AC008073.7,antisense
ENSG00000223754,NA,NA,2,AC008073.9,antisense
ENSG00000223935,NA,NA,2,AC008074.3,antisense
ENSG00000187979,NA,NA,22,AC008079.9,antisense
ENSG00000231098,NA,NA,7,AC008154.4,antisense
ENSG00000005189,Q96IC2,REXO5_HUMAN,16,AC004381.6,protein_coding
ENSG00000231646,NA,NA,2,AC008174.3,antisense
ENSG00000223642,NA,NA,2,AC008277.1,antisense
ENSG00000234022,NA,NA,2,AC008278.2,antisense
ENSG00000224194,NA,NA,2,AC008278.3,antisense
ENSG00000232220,NA,NA,19,AC008440.5,antisense
ENSG00000251409,NA,NA,5,AC008592.4,antisense
ENSG00000253798,NA,NA,5,AC008694.3,antisense
ENSG00000227407,NA,NA,19,AC008746.3,antisense
ENSG00000228323,NA,NA,19,AC008753.6,antisense
ENSG00000228737,NA,NA,5,AC008781.7,antisense
ENSG00000237705,NA,NA,5,AC008937.2,antisense
ENSG00000225230,NA,NA,5,AC008937.3,antisense
ENSG00000267751,NA,NA,19,AC009005.2,antisense
ENSG00000237718,NA,NA,16,AC009095.4,antisense
ENSG00000259972,NA,NA,16,AC009120.6,antisense
ENSG00000261690,NA,NA,16,AC009133.12,antisense
ENSG00000238045,NA,NA,16,AC009133.14,antisense
ENSG00000259952,NA,NA,16,AC009133.15,antisense
ENSG00000260719,NA,NA,16,AC009133.17,antisense
ENSG00000261962,NA,NA,16,AC009133.20,antisense
ENSG00000262116,NA,NA,16,AC009134.1,antisense
ENSG00000261238,NA,NA,16,AC009166.5,antisense
ENSG00000224675,NA,NA,2,AC009227.2,antisense
ENSG00000242628,NA,NA,2,AC009228.1,antisense
ENSG00000235724,NA,NA,2,AC009299.2,antisense
ENSG00000235066,NA,NA,2,AC009303.1,antisense
ENSG00000234579,NA,NA,2,AC009305.1,antisense
ENSG00000238207,NA,NA,2,AC009312.1,antisense
ENSG00000224467,NA,NA,2,AC009313.1,antisense
ENSG00000225881,NA,NA,7,AC009365.4,antisense
ENSG00000234141,NA,NA,7,AC009473.1,antisense
ENSG00000223911,NA,NA,2,AC009480.3,antisense
ENSG00000224076,NA,NA,2,AC009487.4,antisense
ENSG00000231609,NA,NA,2,AC009501.4,antisense
ENSG00000235522,NA,NA,2,AC009505.2,antisense
ENSG00000224152,NA,NA,2,AC009506.1,antisense
ENSG00000227197,NA,NA,7,AC009518.8,antisense
ENSG00000231794,NA,NA,7,AC009542.2,antisense
ENSG00000223960,NA,NA,2,AC009948.5,antisense
ENSG00000225963,NA,NA,2,AC009950.2,antisense
ENSG00000228973,NA,NA,2,AC009955.8,antisense
ENSG00000233953,NA,NA,2,AC009970.1,antisense
ENSG00000225000,NA,NA,7,AC010082.2,antisense
ENSG00000228763,NA,NA,2,AC010095.5,antisense
ENSG00000236107,NA,NA,2,AC010127.3,antisense
ENSG00000223923,NA,NA,2,AC010136.2,antisense
ENSG00000256806,A8MU93,CQ100_HUMAN,17,AC004706.1,pseudogene
ENSG00000235419,NA,NA,2,AC010149.4,antisense
ENSG00000249249,NA,NA,5,AC010226.4,antisense
ENSG00000249318,NA,NA,5,AC010468.2,antisense
ENSG00000267219,NA,NA,19,AC010504.2,antisense
ENSG00000268686,NA,NA,19,AC010524.2,antisense
ENSG00000268157,NA,NA,19,AC010524.4,antisense
ENSG00000267117,NA,NA,19,AC010525.4,antisense
ENSG00000267448,NA,NA,19,AC010649.1,antisense
ENSG00000228577,NA,NA,2,AC010731.2,antisense
ENSG00000231653,NA,NA,2,AC010731.3,antisense
